method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.816,0.840,0.236,0.150,0.428,0.936,0.000
original-group-0,0.778,0.823,0.299,0.217,0.493,0.901,0.664
original-group-1,0.890,0.808,0.111,0.018,0.085,0.990,0.336
original-delta,-0.111,0.015,0.189,0.199,0.407,-0.089,0.407
original-fair_reg-all,0.704,0.804,0.236,0.420,0.763,0.686,0.000
original-fair_reg-group-0,0.735,0.823,0.299,0.415,0.750,0.728,0.664
original-fair_reg-group-1,0.643,0.808,0.111,0.430,0.832,0.620,0.336
original-fair_reg-delta,0.091,0.015,0.189,-0.015,-0.082,0.108,0.108
original-fair_pp-all,0.793,0.802,0.236,0.137,0.352,0.930,0.000
original-fair_pp-group-0,0.767,0.823,0.299,0.133,0.334,0.952,0.664
original-fair_pp-group-1,0.845,0.808,0.111,0.144,0.449,0.894,0.336
original-fair_pp-delta,-0.078,0.015,0.189,-0.011,-0.115,0.058,0.115
original-fair_adv-all,0.811,0.834,0.236,0.146,0.410,0.935,0.000
original-fair_adv-group-0,0.776,0.823,0.299,0.193,0.447,0.916,0.664
original-fair_adv-group-1,0.881,0.809,0.111,0.055,0.212,0.965,0.336
original-fair_adv-delta,-0.105,0.015,0.189,0.138,0.235,-0.048,0.235
original-fair_resample-all,0.801,0.818,0.236,0.137,0.369,0.934,0.000
original-fair_resample-group-0,0.770,0.822,0.299,0.149,0.364,0.943,0.664
original-fair_resample-group-1,0.862,0.809,0.111,0.114,0.394,0.920,0.336
original-fair_resample-delta,-0.093,0.014,0.189,0.035,-0.030,0.022,0.030
adv-clean-all,0.816,0.839,0.236,0.149,0.425,0.936,0.000
adv-clean-group-0,0.778,0.823,0.299,0.213,0.485,0.903,0.664
adv-clean-group-1,0.891,0.806,0.111,0.021,0.105,0.989,0.336
adv-clean-delta,-0.113,0.017,0.189,0.192,0.381,-0.086,0.381
adv-clean-fair_reg-all,0.700,0.803,0.236,0.425,0.764,0.680,0.000
adv-clean-fair_reg-group-0,0.732,0.823,0.299,0.418,0.750,0.724,0.664
adv-clean-fair_reg-group-1,0.635,0.807,0.111,0.439,0.837,0.610,0.336
adv-clean-fair_reg-delta,0.097,0.016,0.189,-0.021,-0.087,0.114,0.114
adv-clean-fair_pp-all,0.793,0.804,0.236,0.147,0.372,0.923,0.000
adv-clean-fair_pp-group-0,0.768,0.823,0.299,0.144,0.353,0.946,0.664
adv-clean-fair_pp-group-1,0.841,0.806,0.111,0.153,0.474,0.886,0.336
adv-clean-fair_pp-delta,-0.072,0.017,0.189,-0.010,-0.121,0.059,0.121
adv-clean-fair_adv-all,0.812,0.834,0.236,0.143,0.405,0.938,0.000
adv-clean-fair_adv-group-0,0.776,0.823,0.299,0.187,0.439,0.921,0.664
adv-clean-fair_adv-group-1,0.882,0.807,0.111,0.056,0.220,0.964,0.336
adv-clean-fair_adv-delta,-0.105,0.015,0.189,0.131,0.219,-0.044,0.219
adv-clean-fair_resample-all,0.802,0.817,0.236,0.135,0.368,0.937,0.000
adv-clean-fair_resample-group-0,0.770,0.821,0.299,0.149,0.366,0.943,0.664
adv-clean-fair_resample-group-1,0.866,0.811,0.111,0.107,0.377,0.927,0.336
adv-clean-fair_resample-delta,-0.095,0.010,0.189,0.042,-0.011,0.017,0.017
adv-all-all,0.691,0.706,0.236,0.284,0.446,0.766,0.000
adv-all-group-0,0.766,0.815,0.299,0.149,0.357,0.940,0.664
adv-all-group-1,0.542,0.812,0.111,0.552,0.926,0.495,0.336
adv-all-delta,0.223,0.003,0.189,-0.403,-0.569,0.446,0.569
adv-all-fair_reg-all,0.703,0.824,0.236,0.447,0.818,0.667,0.000
adv-all-fair_reg-group-0,0.694,0.815,0.299,0.504,0.830,0.635,0.664
adv-all-fair_reg-group-1,0.721,0.812,0.111,0.334,0.752,0.718,0.336
adv-all-fair_reg-delta,-0.028,0.003,0.189,0.170,0.078,-0.082,0.082
adv-all-fair_pp-all,0.719,0.828,0.236,0.425,0.804,0.692,0.000
adv-all-fair_pp-group-0,0.693,0.815,0.299,0.505,0.831,0.634,0.664
adv-all-fair_pp-group-1,0.771,0.812,0.111,0.266,0.664,0.784,0.336
adv-all-fair_pp-delta,-0.078,0.003,0.189,0.239,0.167,-0.150,0.167
adv-all-fair_adv-all,0.719,0.776,0.236,0.344,0.633,0.746,0.000
adv-all-fair_adv-group-0,0.764,0.815,0.299,0.289,0.588,0.839,0.664
adv-all-fair_adv-group-1,0.630,0.810,0.111,0.453,0.873,0.600,0.336
adv-all-fair_adv-delta,0.134,0.005,0.189,-0.164,-0.285,0.239,0.285
adv-all-fair_resample-all,0.728,0.811,0.236,0.376,0.721,0.731,0.000
adv-all-fair_resample-group-0,0.735,0.816,0.299,0.393,0.713,0.744,0.664
adv-all-fair_resample-group-1,0.716,0.812,0.111,0.341,0.760,0.711,0.336
adv-all-fair_resample-delta,0.018,0.004,0.189,0.052,-0.047,0.033,0.047
adv-konstantinov-all,0.816,0.839,0.236,0.149,0.425,0.936,0.000
adv-konstantinov-group-0,0.778,0.823,0.299,0.213,0.485,0.903,0.664
adv-konstantinov-group-1,0.891,0.806,0.111,0.021,0.105,0.989,0.336
adv-konstantinov-delta,-0.113,0.017,0.189,0.192,0.381,-0.086,0.381
adv-konstantinov-fair_reg-all,0.700,0.803,0.236,0.425,0.764,0.680,0.000
adv-konstantinov-fair_reg-group-0,0.732,0.823,0.299,0.418,0.750,0.724,0.664
adv-konstantinov-fair_reg-group-1,0.635,0.807,0.111,0.439,0.837,0.610,0.336
adv-konstantinov-fair_reg-delta,0.097,0.016,0.189,-0.021,-0.087,0.114,0.114
